0xff81a470,GetFirmwareVersion_FW
0xffab87b8,GetFocusDefaultResetPosition_FW
0xff973cc4,GetFocusedItemIDOfDialogItem_FW
0xffaac2f0,GetFocusLensCurrentPosition_FW
0xffaac4a8,GetFocusLensMoveCompleteTime_FW
0xffaac4b4,GetFocusLensNdCoefficientPulse_FW
0xffaac340,GetFocusLensResetDefaultPosition_FW
0xffaac304,GetFocusLensResetPosition_FW
0xffaac318,GetFocusLensResetPositionForInside_FW
0xffaac32c,GetFocusLensResetPositionForOutside_FW
0xffaac4c8,GetFocusLensSettingMaxSpeed_FW
0xffaac4dc,GetFocusLensSettingMaxSpeedByDeltaType_FW
0xffaac5b0,GetFocusLensSubjectDistance_FW
0xffaac5d4,GetFocusLensSubjectDistanceFromLens_FW
0xffa92a44,GetFocusPiSensorLevel_FW
0xffab87cc,GetFocusResetPosition_FW
0xff9742a8,GetFocusScopeToDialog_FW
0xffabda94,GetHour_FW
0xffaa2c28,GetIrisAvEvent_FW
0xffaa2c3c,GetIrisCurrentPositionEvent_FW
0xff973cfc,GetItemHandleOfDialogBox_FW
0xff82b19c,GetLBOffset_FW
0xffa95af0,GetLensErrorStatus_FW
0xff963e58,GetLogicalEventName
0xffae6d48,GetLogToFile_FW
0xff951228,GetMacroSupportZoomPoint_FW
0xffab3820,GETMAINFLASHEVALUATIONVALUE_FW
0xff968464,GetMainPowerLockCounter_FW
0xffaa426c,GetMechaShutterCount_FW
0xffaa4224,GetMechaShutterStatusEvent_FW
0xff9511e4,GetMFBarData_FW
0xffabdac4,GetMinute_FW
0xffabd638,GetModelId_FW
0xffabda2c,GetMonth_FW
0xffab3cbc,GETMOVIEEVALUATIONVALUEWITHMECHASHUTTER_FW
0xff820af4,GetNumberOfPostedMessages
0xffab5d6c,GetObClampValue_FW
0xff82d344,GetOpticalTemperature
0xff82d344,GetOpticalTemperature_FW
0xff97855c,GetPaletteFromPhysicalScreen_FW
0xff96dad0,GetParameterData
0xffabcf60,GetPixelsOfViewangle_FW
0xffab38d0,GETPREFLASHEVALUATIONVALUE_FW
0xff951418,GetProgramShiftLimitNegative_FW
0xff9513f4,GetProgramShiftLimitPositive_FW
0xff824554,GetPropertyCase
0xff974d20,GetPropertyFromDialogItem_FW
0xff973754,GetPropertyFromDialogItemWithID_FW
0xffabdaf4,GetSecond_FW
0xff9610b4,GetSelfControllerHandle_FW
0xff821230,GetSemaphoreValue
0xffab61bc,GetShutterSpeedRegularMaxLimit_FW
0xffab61e0,GetShutterSpeedRegularMinLimit_FW
0xff81ff90,GetSRAndDisableInterrupt
0xff9a2cd4,GetStateOfMovieSequence_FW
0xff81b738,GetStringWithPrompt_FW
0xffabc624,GetSumYOfVRAMCenterLine_FW
0xff826df4,GetSwitchStatus_FW
0xff81ab40,GetSystemTime_FW
0xff814888,GetTimeOfSystem_FW
0xffabf80c,GetTransparentMemory_FW
0xffabf864,GetTransparentMemoryPosition_FW
0xffabf7ec,GetTransparentMemorySize_FW
0xffab6664,GetUsableMaxAv
0xffab6664,GetUsableMaxAv_FW
0xffab6640,GetUsableMinAv
0xffab6640,GetUsableMinAv_FW
0xffab61ac,GetUserSetShutterSPeed_FW
0xffabc330,GetVideoOutType_FW
0xffabd9f4,GetYear_FW
0xffa9cfc4,GetZoomActuatorCurrentPosition_FW
0xffa9cf88,GetZoomActuatorLimitAmpere_FW
0xffa9cf60,GetZoomActuatorSpeedControlGain_FW
0xffa9cf38,GetZoomActuatorSpeedPPS_FW
0xffab84c8,GetZoomLensCurrent_FW
0xffa973d4,GetZoomLensCurrentPoint
0xffa973d4,GetZoomLensCurrentPoint_FW
0xffa973e8,GetZoomLensCurrentPosition
0xffa973e8,GetZoomLensCurrentPosition_FW
0xffab7d74,GetZoomLensResetPlus_FW
0xffab84dc,GetZoomLensSpeed_FW
0xffa973fc,GetZoomLensTelePoint_FW
0xffa92a7c,GetZoomPiSensorLevel_FW
0xff82115c,GiveSemaphore
0xff82115c,GiveSemaphore_FW
0xffa75698,handle_PTP_OC_0x902c
0xffa75860,handle_PTP_OC_0x902e
0xffa6552c,handle_PTP_OC_CANON_ChangeUSBProtocol
0xffa7b4d8,handle_PTP_OC_CANON_GetChanges
0xffa77e9c,handle_PTP_OC_CANON_GetCustomizeData
0xffa77d9c,handle_PTP_OC_CANON_GetCustomizeItemInfo
0xffa77ccc,handle_PTP_OC_CANON_GetCustomizeSpec
0xffa75784,handle_PTP_OC_CANON_GetDirectory
0xffa747a4,handle_PTP_OC_CANON_GetObjectAttributes
0xffa752d8,handle_PTP_OC_CANON_GetObjectHandleByName
0xffa740d4,handle_PTP_OC_CANON_GetObjectInfoEx
0xffa744f8,handle_PTP_OC_CANON_GetPartialObjectEx
0xffa73e54,handle_PTP_OC_CANON_GetPartialObjectInfo
0xffa75784,handle_PTP_OC_CANON_GetTreeInfo
0xffa78e2c,handle_PTP_OC_CANON_GetTreeSize
0xffa7a69c,handle_PTP_OC_CANON_InitiateCaptureInMemory
0xffa7a5cc,handle_PTP_OC_CANON_InitiateReleaseControl
0xffa79530,handle_PTP_OC_CANON_NotifyCancelAccepted
0xffa79478,handle_PTP_OC_CANON_NotifyProgress
0xffa74d1c,handle_PTP_OC_CANON_SendObjectByPath
0xffa74940,handle_PTP_OC_CANON_SendObjectInfoByPath
0xffa75008,handle_PTP_OC_CANON_SendPartialObject
0xffa77fcc,handle_PTP_OC_CANON_SetCustomizeData
0xffa795f8,handle_PTP_OC_CANON_SetDisplayMonitor
0xffa7485c,handle_PTP_OC_CANON_SetObjectArchive
0xffa7544c,handle_PTP_OC_CANON_SetObjectTime
0xffa78da8,handle_PTP_OC_CANON_TerminateDirectTransfer
0xffa7a76c,handle_PTP_OC_CANON_TerminateReleaseControl
0xffa7a7ec,handle_PTP_OC_CANON_ViewfinderOn
0xffa6529c,handle_PTP_OC_CloseSession
0xffa754e8,handle_PTP_OC_DeleteObject
0xffa755f8,handle_PTP_OC_FormatStore
0xffa64d74,handle_PTP_OC_GetDeviceInfo
0xffa61ee4,handle_PTP_OC_GetDevicePropDesc
0xffa624dc,handle_PTP_OC_GetDevicePropValue
0xffa72efc,handle_PTP_OC_GetNumObjects
0xffa73804,handle_PTP_OC_GetObject
0xffa72fdc,handle_PTP_OC_GetObjectHandles
0xffa73d2c,handle_PTP_OC_GetObjectInfo
0xffa73b34,handle_PTP_OC_GetPartialObject
0xffa72b6c,handle_PTP_OC_GetStorageIDs
0xffa72c6c,handle_PTP_OC_GetStorageInfo
0xffa73a78,handle_PTP_OC_GetThumb
0xffa7a43c,handle_PTP_OC_InitiateCapture
0xffa6516c,handle_PTP_OC_OpenSession
0xffa627d4,handle_PTP_OC_ResetDevicePropValue
0xffa74d1c,handle_PTP_OC_SendObject
0xffa74940,handle_PTP_OC_SendObjectInfo
0xffa62630,handle_PTP_OC_SetDevicePropValue
0xffa73c64,handle_PTP_OC_SetObjectProtection
0xff95fd24,HardwareDefect_FW
0xff81ecf8,HwOcReadICAPCounter
0xff8c9f4c,ImagerActivate
0xff8b0280,ImgGainTool.FlushGain_FW
0xff8b02ec,ImgGainTool.GetDeltaGainLimit_FW
0xff8b038c,ImgGainTool.GetGain_FW
0xff8b0348,ImgGainTool.GetUserGainLimit_FW
0xff8b03d0,ImgGainTool.IsValidDeltaSv_FW
0xff8b0228,ImgGainTool.SetDeltaGain_FW
0xff8b0248,ImgGainTool.SetUserGain_FW
0xffab2aec,InactivateAdjLog_FW
0xffab2cb4,InitializeAdjustmentFunction_FW
0xffab2c24,InitializeAdjustmentSystem_FW
0xffa8bef0,InitializeDCPClassFunctions_FW
0xffac557c,InitializeSoundRec_FW
0xffac2888,InitializeTestRec_FW
0xff8a2348,InPort_FW
0xff97494c,InstallDialogItem_FW
0xffa1a5bc,InstallMyCameraMenu_FW
0xffa16de4,InstallPlayMenu_FW
0xffa14b18,InstallRecMenu_FW
0xffa183ac,InstallSetupMenu_FW
0xffb03de4,iosDevAdd
0xffb03dbc,iosDevDelete
0xffb040a8,iosDrvInstall
0xffab5f04,IsAdjCdsMode_FW
0xffaf8ad8,isalpha
